index,total,female,male,white,black,american_indian/alaska_native,native_hawaiian/pacific_islander,hispanic,other_race,democrat,republican,unaffiliated,green,libertarian,constitution,justice_for_all,no_labels,we_the_people,date
SAMPSON,37834,20553,16870,23133,11629,561,0,1455,2511,16753,13741,7242,0,98,0,0,0,0,2016-11-08
SCOTLAND,22971,12819,9781,11114,9267,1583,0,177,1007,13344,3726,5855,0,46,0,0,0,0,2016-11-08
STANLY,40892,21342,18853,34700,4398,78,0,263,1716,11604,17871,11303,0,114,0,0,0,0,2016-11-08
STOKES,31288,16497,14752,29017,1350,63,0,273,858,8173,15059,7903,0,153,0,0,0,0,2016-11-08
SURRY,45867,24448,20731,41915,1817,69,0,931,2066,14673,19094,11975,0,125,0,0,0,0,2016-11-08
SWAIN,10575,5551,5000,8333,123,1870,0,53,249,4177,2677,3688,0,33,0,0,0,0,2016-11-08
TRANSYLVANIA,25540,13377,11728,23641,955,54,0,172,890,7056,8278,10090,0,116,0,0,0,0,2016-11-08
TYRRELL,2481,1320,1139,1580,799,8,0,29,94,1469,348,657,0,7,0,0,0,0,2016-11-08
UNION,150955,78415,70666,121015,18576,391,0,4982,10973,39875,63444,47017,0,619,0,0,0,0,2016-11-08
VANCE,30257,16483,13261,13060,15892,51,0,377,1254,20209,4425,5562,0,61,0,0,0,0,2016-11-08
WAKE,705093,360488,314830,466519,141111,1779,0,21519,95684,266039,188949,245890,0,4215,0,0,0,0,2016-11-08
WARREN,13728,7348,6208,5426,7247,595,0,52,460,9582,1768,2347,0,31,0,0,0,0,2016-11-08
WASHINGTON,8761,4792,3880,4022,4406,10,0,44,323,5965,1118,1654,0,24,0,0,0,0,2016-11-08
WATAUGA,46325,24083,21677,42831,992,71,0,943,2431,12640,14308,18894,0,483,0,0,0,0,2016-11-08
WAYNE,76208,40571,33544,44583,25755,154,0,1954,5716,33523,24327,18084,0,274,0,0,0,0,2016-11-08
WILKES,43012,22438,20025,40146,1740,36,0,591,1090,10353,22089,10451,0,119,0,0,0,0,2016-11-08
WILSON,56578,30693,24849,29565,23620,97,0,989,3296,30222,13932,12289,0,135,0,0,0,0,2016-11-08
YADKIN,24142,12516,11286,22523,760,34,0,526,825,4303,13409,6360,0,70,0,0,0,0,2016-11-08
YANCEY,13962,7207,6586,13580,87,22,0,67,273,5293,4918,3709,0,42,0,0,0,0,2016-11-08
Totals,6918150,3663903,3096349,4799695,1536117,56634,0,166964,525704,2733188,2086942,2065687,0,32333,0,0,0,0,2016-11-08
